,mic
0,0.15653681447743853
1,0.17582299288580214
2,0.14114268556131188
3,0.14213599302232754
4,0.1523767103251488
5,0.1694163554013576
6,0.16169408882338854
7,0.19053784849680142
8,0.1146308296301534
9,0.18389837807881013
10,0.22812210981211575
11,0.1787930228424107
12,0.16756569846261762
13,0.13236503648223752
14,0.1375678420148798
15,0.15140368830281153
16,0.24589945139060548
17,0.2302906437310132
18,0.12519145204585053
19,0.14477308798611296
20,0.11088449798259545
21,0.14534520233657724
22,0.14985085839917192
23,0.15082862673158082
24,0.1801164985848894
25,0.16728961303462653
26,0.11887520721887411
27,0.12623527690133032
28,0.11785895593565673
29,0.11379595662378011
30,0.2573936906649022
31,0.18115623633484967
32,0.17069582869538974
33,0.17862054734607344
34,0.1682413960561062
35,0.15399028961309105
36,0.17087093945928772
37,0.1830555239750624
38,0.1728159797799087
39,0.11981028581308001
40,0.1362233267472753
41,0.11897576357407585
42,0.13631174942268162
43,0.190020589588279
44,0.18556401191041524
45,0.1631619963937075
46,0.17872469363821497
47,0.16043696742078858
48,0.18256841272559232
49,0.1674938933605326
50,0.17971734550262053
51,0.17504500811570675
52,0.17145691208351135
53,0.15463526304047748
54,0.17067184964866933
55,0.15254555119049706
56,0.14750914434512027
57,0.2451781707543746
58,0.22478697527655592
59,0.22672422830693711
60,0.23433367737978478
61,0.19057394096415017
62,0.19458463962863207
63,0.18652341464702052
64,0.16827308244292458
65,0.1687874780107378
66,0.12927555174744573
67,0.15653392798736776
68,0.139725449404103
69,0.16301112928567174
70,0.2001760575962692
71,0.19810475108296327
72,0.15683871818854278
73,0.18050946183261043
74,0.1695466855961072
75,0.14860549570302214
76,0.14343795333249185
77,0.15299289915343672
78,0.16608542132121348
79,0.16658359771665704
80,0.16061133927919033
81,0.17344098650904927
82,0.17964011885867098
83,0.1586840703220109
84,0.24376579718530494
85,0.24640919156511845
86,0.2860316459320132
87,0.2619786614815075
88,0.18179880959920167
89,0.16043696742078858
90,0.17373726837674525
91,0.1761372977362187
92,0.18215817430328535
93,0.1642958837738745
94,0.24661489715710952
95,0.2689642245055786
96,0.2827152605869199
97,0.2587049962087314
98,0.18132882009069493
99,0.17504500811570675
100,0.1983067793468486
101,0.17428714596998918
102,0.19711990497789
103,0.25123428382169855
104,0.17717810285584723
105,0.16686184043959754
106,0.20871466568261182
107,0.23967083378651913
108,0.2838965187122877
109,0.24491966044326877
110,0.18514046144023766
111,0.17481847376321283
112,0.1611198667545553
113,0.16137255018664975
114,0.23414083538230757
115,0.23491867053833398
116,0.1820477271366033
117,0.15878626508433896
118,0.18955912143594003
119,0.1746310095005942
120,0.23886444901159318
121,0.24857497781773444
122,0.1708106279538956
123,0.15321186654154004
124,0.24631835951148748
125,0.23751456894495998
126,0.2972832426215808
127,0.2629995587264696
128,0.16196343501259536
129,0.1636127547905485
130,0.15653921320256584
131,0.15377457574757747
132,0.18154947829271342
133,0.14499563796442685
134,0.18689075301740832
135,0.1522485310094185
136,0.18796247302500954
137,0.174284103336767
138,0.12282430242563303
139,0.1268627073155292
140,0.12720827703310586
141,0.12188696990768556
142,0.15644266536443416
143,0.16960862119559733
144,0.15401446805354765
145,0.18553799794355116
146,0.18603249750998344
147,0.20028188249602308
148,0.21046024995466184
149,0.16276684149693812
150,0.15604007078717055
151,0.17738233223559877
152,0.15199255433675032
153,0.16837559284482412
154,0.17832925964985652
155,0.1668657742570192
156,0.1801164985848894
157,0.16728961303462653
158,0.2588867263235285
159,0.24866148573011168
160,0.15443056075299816
161,0.19802647391030287
162,0.17963285843938664
163,0.16124880907242511
164,0.2568785958416428
165,0.25783228052564305
166,0.1507234383173872
167,0.1526962470598792
168,0.1567199645568578
169,0.1649168614301901
170,0.17002929956238674
171,0.1568483614521714
172,0.12906066031707547
173,0.12906066031707547
174,0.1739073260709044
175,0.16757375987018475
176,0.1650201251149334
177,0.1513766682894777
178,0.19268830151392732
179,0.19630205892911368
180,0.19529742885521384
181,0.19750659629068784
182,0.17268931097397783
183,0.1468528599404552
184,0.1671060746106858
185,0.16757375987018475
186,0.15902133238714905
187,0.17075051310206196
188,0.14127558932008308
189,0.1450846212433741
190,0.14501686662272129
191,0.16439482696604685
192,0.1411542510462503
193,0.19573160805669554
194,0.15356000152368324
195,0.17947732623833582
196,0.16757375987018475
197,0.16757375987018475
198,0.16757375987018475
199,0.16757375987018475
200,0.16757375987018475
201,0.16757375987018475
202,0.16757375987018475
203,0.16757375987018475
204,0.16757375987018475
205,0.16757375987018475
206,0.16757375987018475
207,0.1299338364825542
208,0.16757375987018475
209,0.18270251907327725
210,0.16322373335005194
211,0.1833644765889776
212,0.15764168918393792
213,0.18383685344078665
214,0.16130759833482808
215,0.1608655923582989
216,0.16763171883905414
217,0.16011617612457665
218,0.16127089873653722
219,0.16434629146661292
220,0.1609182030223687
221,0.16757375987018475
222,0.16757375987018475
223,0.15443395898574241
224,0.15682701155325432
225,0.14797581550072325
226,0.16757375987018475
227,0.16786490119126268
228,0.16303747375292296
229,0.1683649031992816
230,0.1634218723822199
231,0.18138483578366835
232,0.1547930266315257
233,0.19172684757459216
234,0.15376900514887973
235,0.16305476796209764
236,0.14956130420176658
237,0.12340982622309346
238,0.1601094495703859
239,0.15917058640104284
240,0.1765236373582174
241,0.1686088603761228
242,0.14832819625144097
243,0.1673896466852915
244,0.1477673511649617
245,0.15805953665776049
246,0.15106881707521452
247,0.18418500277514252
248,0.15724854598520405
249,0.15698809924932855
250,0.1601491712389621
251,0.16757375987018475
252,0.12906066031707547
253,0.14606448134153965
254,0.23460343954310078
255,0.221838118520472
256,0.23460343954310078
257,0.23460343954310078
258,0.23460343954310078
259,0.23460343954310078
260,0.23460343954310078
261,0.221838118520472
262,0.23460343954310078
263,0.221838118520472
264,0.14264874595428995
265,0.221838118520472
