,pearsonr,f_regression,rfr,rfe,rg,rf
0,-0.19036211684269425,18.724941781426217,0.033,6474.0,-0.00628785440019785,0.0
1,0.22666636654288244,26.97181376145451,0.044,1106.0,0.011821980655598327,0.0
2,0.12122192051642587,7.427127307631976,0.003,3770.0,0.009760142147403797,0.0
3,-0.03405228277277566,0.5781302406180628,-0.005,175.0,-0.008691803820801411,1.1386339780889512e-07
4,0.08161620772243473,3.3395255361812857,0.011,2235.0,0.004083792278135379,0.0
5,-0.16578782440026296,14.074681251528789,0.025,2695.0,-0.010686256860138223,0.0
6,-0.19831913834409928,20.388467585005536,0.131,6613.0,-0.004093073796263698,0.0
7,-0.1160167973337132,6.794481865122541,0.096,2727.0,-0.008053286857853174,0.0028710418716585803
8,-0.17231746438666432,15.239787357229432,0.059,4675.0,-0.0014158943325520736,0.0
9,-0.10687225741065655,5.753713413205103,0.069,603.0,-0.025733855650771936,0.0007739157022875982
10,-0.21333981782954745,23.746716326776284,0.117,6566.0,-0.004171083750345998,1.5552209328525108e-06
11,-0.21425777356344722,23.961363774103997,0.004,172.0,-0.025072897101021157,0.0
12,0.03979914757992276,0.7900695779546019,0.029,948.0,-0.0085905511600009,0.0012093968646019972
13,-0.10361238824492693,5.404310566908727,-0.041,499.0,-0.009674880623764905,0.0
14,-0.021663158414982432,0.23381736010897244,-0.026,5830.0,-0.0007225159025824454,0.0007694744560958738
15,0.18085957578974196,16.840529562033396,0.003,845.0,-0.008172396957133028,1.4077643513962343e-07
16,-0.1558560782216515,12.39814102066578,0.181,2389.0,0.0014611274030792189,0.0005765245245318157
17,-0.06649744901247577,2.211892331556887,0.099,782.0,-0.012144962111130593,2.1062332839070044e-08
18,0.019562374669432392,0.19065083785059456,0.137,2161.0,-0.0037498099628683734,0.0007843436421303571
19,0.0025275761525627664,0.0031815636469571967,0.022,4246.0,-0.0017535699266928023,0.0
20,0.051725783272297036,1.3360017626634362,0.068,879.0,0.006868456774273897,0.0
21,0.008942342650342733,0.03982599975958668,0.107,1963.0,0.00370407756276208,5.373506749706514e-06
22,0.17834762928607417,16.36072253000848,0.011,6145.0,0.0010477758342003138,6.162875311780674e-05
23,0.1634258980856562,13.66557658385309,-0.116,715.0,0.013182325416605634,0.0
24,0.07102276802624918,2.5247638203383547,0.038,6676.0,5.598793429652943e-05,0.0004075913553401699
25,-0.030634917777732862,0.46781113715391787,0.029,6645.0,-0.0024022423608465997,0.0
26,-0.027438734848492404,0.3752188130073877,0.038,5990.0,0.000985860206791235,0.0
27,0.08164932592901739,3.342254502877399,0.066,1101.0,0.006768365963232409,0.0
28,-0.028153038181888863,0.3950246863396873,0.089,6278.0,0.0017565010693335603,0.0
29,0.09607477914584536,4.639545558113965,0.068,3409.0,0.00833614021476637,2.668853475284133e-06
30,-0.15155881995001114,11.70803218857612,0.118,6228.0,-0.0005082484308143991,0.0005072353694769838
31,0.05517338056288194,1.5205915933157443,0.061,6707.0,0.0004725986022505735,0.0
32,-0.03541853080130769,0.6255119047863006,0.055,6533.0,-0.0008990595667308521,0.0
33,0.052196556230180303,1.3604979302377496,-0.015,6609.0,8.43665129591567e-05,0.0
34,-0.03556605003738062,0.6307399204246529,0.069,6630.0,-0.0021468782003735386,0.0
35,0.08094786059025207,3.284696110448495,-0.049,6523.0,0.001058593449982978,0.0
36,-0.02085377442090244,0.21666441698538128,0.053,6359.0,-0.0021928839487218854,1.4008832309014443e-05
37,0.08152799838916373,3.3322625628205733,0.024,6367.0,0.001342665538314778,0.0
38,-0.019481997660448978,0.1890867875112367,0.051,6483.0,-0.000469454684720802,0.00019154537064844986
39,0.06743728584183163,2.2751450621367018,0.113,4547.0,0.0018489215611163026,0.0
40,0.07121155005728083,2.5382720540450396,0.072,6468.0,0.002485276614670167,0.0027855638569683656
41,0.06947485471985333,2.415382669732488,0.12,6110.0,-0.0001878070797469364,0.00020156535716986217
42,0.06583543484867745,2.167879883388235,0.028,6561.0,0.0013328587579259574,0.0
43,0.018155425671277294,0.16420462673392466,0.098,2287.0,0.001810617892231161,0.0009135493365740925
44,0.059109379349278755,1.746072160294013,0.006,6317.0,-0.0012466392801285392,0.0
45,-0.033531641779565656,0.5605670435432437,0.043,6261.0,0.0003449526301238289,1.7895124726534442e-09
46,0.06127595030993003,1.8769088677377486,-0.019,6611.0,0.0003844159626396268,0.0
47,-0.034404787943543555,0.590175922856972,0.051,6311.0,-0.0024361505442860535,0.0
48,0.08640975519813418,3.746362365913971,0.043,6382.0,0.0008393117772423145,0.0
49,-0.029168010590595796,0.4240456417386001,-0.004,5976.0,-0.004386831366536876,0.0015432402065469269
50,0.08406083753723097,3.544022614011183,0.056,6224.0,-0.0007867106028385216,0.0
51,-0.0278190519811713,0.38570052075851496,0.013,6184.0,-0.0025377926934997217,0.0
52,0.08742913068666408,3.8359602564297464,-0.082,6183.0,0.0043496442418157685,0.0
53,0.05748092795422733,1.6508750103462058,0.054,318.0,-0.019483961106770517,2.1636522721440043e-06
54,0.07258900523000171,2.637943267636552,0.056,5300.0,-0.0019759058420824593,1.635664866900914e-05
55,0.10621454583039397,5.682306928121801,0.012,5275.0,0.0035173630692057634,0.0
56,-0.08177696641764665,3.3527828157585757,-0.007,5137.0,0.0023582833139575076,2.1554153632035092e-08
57,0.01871908781663244,0.17456248328183216,0.038,5801.0,0.0006600478363125162,5.322040772071564e-08
58,0.03403890563375596,0.5776755763077408,0.09,5033.0,-0.006209775695538704,0.0
59,0.01871663900956965,0.1745167981847421,0.073,6435.0,-0.002253826276183042,5.9655991756195685e-05
60,0.03745710726020251,0.6996930661626921,0.108,6776.0,-0.0014633833053392525,4.891263605637218e-06
61,-0.0033045263734571015,0.005438166871538296,0.069,304.0,-0.012916043126174295,0.0
62,0.05535402336260338,1.5305956644560517,-0.002,690.0,-0.009757872617418863,0.0
63,0.08772108697779686,3.8618212444665128,0.033,1239.0,-0.0009301801652939548,0.0
64,0.10878814039989523,5.964347238376068,-0.009,317.0,0.00656205333099797,0.002245916545128284
65,0.13988481548674903,9.939233836918246,0.014,3489.0,0.006206971998899276,2.2780261678330613e-07
66,0.07004830572096456,2.4556181785821325,-0.042,321.0,0.022573867143343015,0.0012513554297904756
67,0.11803278519362782,7.036029840497056,-0.02,662.0,0.009464531824735514,4.768630715048875e-05
68,-0.06518007478284149,2.124751072061032,0.083,787.0,0.008233059103114173,3.749475649001725e-05
69,0.20462020322335533,21.762143415908188,0.079,4592.0,0.0030777252593596933,0.0
70,-0.08233661147855141,3.399144036663289,0.051,919.0,-0.013337224884157322,5.814741314976125e-05
71,0.05790759915871412,1.6755570689137065,0.027,420.0,0.011509308250457751,2.8039943554537293e-08
72,-0.005725445099872494,0.016325334508876854,-0.065,1206.0,0.0052706301770418,1.8846790849895033e-06
73,-0.11353194269940456,6.502789723759393,-0.018,2190.0,-0.008988530470923822,0.0
74,-0.07597069988577479,2.8909155819360826,0.014,4245.0,-0.005513307694724105,3.565875054736188e-05
75,0.01784915671405067,0.15870957657474155,-0.051,274.0,-0.011422438095472272,5.268577780092105e-08
76,-0.015842158480091753,0.12501642055280648,-0.027,2076.0,-0.004604442437393223,1.2431379049377966e-06
77,-0.022111940552829036,0.24361019193521594,-0.043,431.0,-0.007688968367495615,1.3093240609328202e-05
78,0.020467177709972806,0.2087022974907653,0.044,2027.0,0.004743936030389249,0.00024160484229239897
79,0.08137938088430326,3.320043944378195,-0.025,330.0,0.00801537109506137,1.0412094461322088e-05
