,mic
0,0.15653681447743853
1,0.17582299288580214
2,0.14114268556131188
3,0.14213599302232754
4,0.1523767103251488
5,0.1694163554013576
6,0.16169408882338854
7,0.19053784849680142
8,0.1146308296301534
9,0.18389837807881013
10,0.22812210981211575
11,0.1787930228424107
12,0.16756569846261762
13,0.13236503648223752
14,0.1375678420148798
15,0.15140368830281153
16,0.24589945139060548
17,0.2302906437310132
18,0.12519145204585053
19,0.14477308798611296
20,0.11088449798259545
21,0.14534520233657724
22,0.14985085839917192
23,0.15082862673158082
24,0.2321687442719673
25,0.1801164985848894
26,0.16728961303462653
27,0.11887520721887411
28,0.12623527690133032
29,0.11785895593565673
30,0.11379595662378011
31,0.2573936906649022
32,0.18115623633484967
33,0.17069582869538974
34,0.17862054734607344
35,0.1682413960561062
36,0.15399028961309105
37,0.17087093945928772
38,0.1830555239750624
39,0.1728159797799087
40,0.11981028581308001
41,0.1362233267472753
42,0.11897576357407585
43,0.13631174942268162
44,0.190020589588279
45,0.18556401191041524
46,0.1631619963937075
47,0.17872469363821497
48,0.16043696742078858
49,0.18256841272559232
50,0.1674938933605326
51,0.17971734550262053
52,0.17504500811570675
53,0.17145691208351135
54,0.15463526304047748
55,0.17067184964866933
56,0.15254555119049706
57,0.14750914434512027
58,0.2451781707543746
59,0.22478697527655592
60,0.22672422830693711
61,0.23433367737978478
62,0.19057394096415017
63,0.19458463962863207
64,0.18652341464702052
65,0.16827308244292458
66,0.1687874780107378
67,0.12927555174744573
68,0.15653392798736776
69,0.139725449404103
70,0.16301112928567174
71,0.2001760575962692
72,0.19810475108296327
73,0.15683871818854278
74,0.18050946183261043
75,0.1695466855961072
76,0.14860549570302214
77,0.14343795333249185
78,0.15299289915343672
79,0.16608542132121348
80,0.16658359771665704
81,0.16061133927919033
82,0.17344098650904927
83,0.17964011885867098
84,0.1586840703220109
85,0.24376579718530494
86,0.24640919156511845
87,0.2860316459320132
88,0.2619786614815075
89,0.18179880959920167
90,0.16043696742078858
91,0.17373726837674525
92,0.1761372977362187
93,0.18215817430328535
94,0.1642958837738745
95,0.24661489715710952
96,0.2689642245055786
97,0.2827152605869199
98,0.2587049962087314
99,0.18132882009069493
100,0.17504500811570675
101,0.1983067793468486
102,0.17428714596998918
103,0.19711990497789
104,0.25123428382169855
105,0.17717810285584723
106,0.16686184043959754
107,0.20871466568261182
108,0.23967083378651913
109,0.2838965187122877
110,0.24491966044326877
111,0.18514046144023766
112,0.17481847376321283
113,0.1611198667545553
114,0.16137255018664975
115,0.23414083538230757
116,0.23491867053833398
117,0.1820477271366033
118,0.15878626508433896
119,0.18955912143594003
120,0.1746310095005942
121,0.23886444901159318
122,0.24857497781773444
123,0.1708106279538956
124,0.15321186654154004
125,0.24631835951148748
126,0.23751456894495998
127,0.2972832426215808
128,0.2629995587264696
129,0.16196343501259536
130,0.1636127547905485
131,0.15653921320256584
132,0.15377457574757747
133,0.18154947829271342
134,0.14499563796442685
135,0.18689075301740832
136,0.1522485310094185
137,0.18796247302500954
138,0.174284103336767
139,0.12282430242563303
140,0.1268627073155292
141,0.12720827703310586
142,0.12188696990768556
143,0.15644266536443416
144,0.16960862119559733
145,0.15401446805354765
146,0.18553799794355116
147,0.18603249750998344
148,0.20028188249602308
149,0.21046024995466184
150,0.16276684149693812
151,0.15604007078717055
152,0.17738233223559877
153,0.15199255433675032
154,0.16837559284482412
155,0.17832925964985652
156,0.1668657742570192
157,0.1801164985848894
158,0.16728961303462653
159,0.23828285922942205
160,0.23828285922942205
161,0.2588867263235285
162,0.24866148573011168
163,0.15443056075299816
164,0.19802647391030287
165,0.17963285843938664
166,0.16124880907242511
167,0.2384920169266643
168,0.2384920169266643
169,0.2568785958416428
170,0.25783228052564305
171,0.1507234383173872
172,0.1526962470598792
173,0.1567199645568578
174,0.1649168614301901
175,0.17002929956238674
176,0.1568483614521714
177,0.12906066031707547
178,0.12906066031707547
179,0.1739073260709044
180,0.16757375987018475
181,0.1650201251149334
182,0.1513766682894777
183,0.19268830151392732
184,0.19630205892911368
185,0.19529742885521384
186,0.19750659629068784
187,0.17268931097397783
188,0.1468528599404552
189,0.1671060746106858
190,0.16757375987018475
191,0.15902133238714905
192,0.17075051310206196
193,0.14127558932008308
194,0.1450846212433741
195,0.14501686662272129
196,0.16439482696604685
197,0.1411542510462503
198,0.19573160805669554
199,0.15356000152368324
200,0.17947732623833582
201,0.16757375987018475
202,0.16757375987018475
203,0.23684933202838634
204,0.16757375987018475
205,0.23867913922725084
206,0.16757375987018475
207,0.23684933202838634
208,0.16757375987018475
209,0.23867913922725084
210,0.16757375987018475
211,0.23684933202838634
212,0.16757375987018475
213,0.23867913922725084
214,0.16757375987018475
215,0.23684933202838634
216,0.16757375987018475
217,0.23867913922725084
218,0.16757375987018475
219,0.16757375987018475
220,0.1299338364825542
221,0.16757375987018475
222,0.18270251907327725
223,0.16322373335005194
224,0.1833644765889776
225,0.15764168918393792
226,0.18383685344078665
227,0.16130759833482808
228,0.1608655923582989
229,0.16763171883905414
230,0.16011617612457665
231,0.16127089873653722
232,0.16434629146661292
233,0.1609182030223687
234,0.16757375987018475
235,0.16757375987018475
236,0.15443395898574241
237,0.15682701155325432
238,0.14797581550072325
239,0.16757375987018475
240,0.16786490119126268
241,0.16303747375292296
242,0.1683649031992816
243,0.1634218723822199
244,0.18138483578366835
245,0.1547930266315257
246,0.19172684757459216
247,0.15376900514887973
248,0.16305476796209764
249,0.14956130420176658
250,0.12340982622309346
251,0.1601094495703859
252,0.15917058640104284
253,0.1765236373582174
254,0.1686088603761228
255,0.14832819625144097
256,0.1673896466852915
257,0.1477673511649617
258,0.15805953665776049
259,0.15106881707521452
260,0.18418500277514252
261,0.15724854598520405
262,0.15698809924932855
263,0.1601491712389621
264,0.16757375987018475
265,0.12906066031707547
