学校,学院,姓名,url
南京工业大学,,欧阳平凯,http://cksp.eol.cn/tutor_detail.php?id=856
西北工业大学,材料学院 ,周尧和,http://cksp.eol.cn/tutor_detail.php?id=31734
西北工业大学,机电学院 ,朱位秋,http://cksp.eol.cn/tutor_detail.php?id=31733
西北工业大学,材料学院 ,周廉,http://cksp.eol.cn/tutor_detail.php?id=31732
西北工业大学,材料学院 ,张立同,http://cksp.eol.cn/tutor_detail.php?id=464
西北工业大学,航海学院 ,杨士莪,http://cksp.eol.cn/tutor_detail.php?id=31731
西北工业大学,航海学院 ,徐德民,http://cksp.eol.cn/tutor_detail.php?id=543
西北工业大学,计算机学院,沈绪榜,http://cksp.eol.cn/tutor_detail.php?id=31730
西北工业大学,航海学院,马远良,http://cksp.eol.cn/tutor_detail.php?id=589
西北工业大学,自动化学院,冯培德,http://cksp.eol.cn/tutor_detail.php?id=31729
西北工业大学,,陈一坚,http://cksp.eol.cn/tutor_detail.php?id=31727
四川大学,,魏于全,http://cksp.eol.cn/tutor_detail.php?id=15964
钢铁研究总院,,殷瑞钰,http://cksp.eol.cn/tutor_detail.php?id=893
中国科学院光电技...,,姜文汉,http://cksp.eol.cn/tutor_detail.php?id=714
沈阳药科大学,,姚新生,http://cksp.eol.cn/tutor_detail.php?id=1485
内蒙古大学,,旭日干,http://cksp.eol.cn/tutor_detail.php?id=1330
上海大学,环境与化学工程学院,刘元方,http://cksp.eol.cn/tutor_detail.php?id=3099
北京建筑工程学院,,王文宇,http://cksp.eol.cn/tutor_detail.php?id=19803
国家海洋局第二海...,,金翔龙,http://cksp.eol.cn/tutor_detail.php?id=1280
国家海洋局第二海...,,潘德炉,http://cksp.eol.cn/tutor_detail.php?id=1298
西北工业大学,,崔俊芝,http://cksp.eol.cn/tutor_detail.php?id=31728
西北工业大学,,陈士橹,http://cksp.eol.cn/tutor_detail.php?id=31725
重庆大学,生物工程学院,蒋稼欢,http://cksp.eol.cn/tutor_detail.php?id=5279
四川大学,,杨金燕,http://cksp.eol.cn/tutor_detail.php?id=31191
四川大学,,孙辉,http://cksp.eol.cn/tutor_detail.php?id=31190
四川大学,,黄成敏,http://cksp.eol.cn/tutor_detail.php?id=31189
四川大学,,罗言云,http://cksp.eol.cn/tutor_detail.php?id=31188
四川大学,,李校,http://cksp.eol.cn/tutor_detail.php?id=31187
四川大学,,鲍锦库,http://cksp.eol.cn/tutor_detail.php?id=31186
四川大学,,杜林方,http://cksp.eol.cn/tutor_detail.php?id=31185
郑州大学,,曾昭书,http://cksp.eol.cn/tutor_detail.php?id=31192
北京工业大学,建筑工程学院,张  杰,http://cksp.eol.cn/tutor_detail.php?id=70
华北电力大学,能源与动力工程学院,陈蕴博,http://cksp.eol.cn/tutor_detail.php?id=43
华北电力大学,能源与动力工程学院,黄其励,http://cksp.eol.cn/tutor_detail.php?id=42
华北电力大学,电气工程学院,杨奇逊,http://cksp.eol.cn/tutor_detail.php?id=41
教育部科技委管理...,,刘人怀,http://cksp.eol.cn/tutor_detail.php?id=40
炮兵学院南京分院,,刘怡昕,http://cksp.eol.cn/tutor_detail.php?id=39
山东大学机械工程...,,艾　兴,http://cksp.eol.cn/tutor_detail.php?id=36
北京航空航天大学...,,冯培德,http://cksp.eol.cn/tutor_detail.php?id=33
西北工业大学,,王兴治,http://cksp.eol.cn/tutor_detail.php?id=31
北京化工大学；天...,,王玉明,http://cksp.eol.cn/tutor_detail.php?id=30
北京航空航天大学,,王　浚,http://cksp.eol.cn/tutor_detail.php?id=28
中国航天科工集团,,于本水,http://cksp.eol.cn/tutor_detail.php?id=25
山东大学,医学院,张运,http://cksp.eol.cn/tutor_detail.php?id=13508
山东大学,化学与化工学院,钱逸泰,http://cksp.eol.cn/tutor_detail.php?id=13078
山东大学,信息科学与工程学院,俞梦孙,http://cksp.eol.cn/tutor_detail.php?id=12935
山东大学,信息科学与工程学院,金国藩,http://cksp.eol.cn/tutor_detail.php?id=12932
福州大学,紫金矿业学院,裴荣富,http://cksp.eol.cn/tutor_detail.php?id=12798
厦门大学,化学化工学院,万惠霖,http://cksp.eol.cn/tutor_detail.php?id=12497
厦门大学,化学化工学院,田昭武,http://cksp.eol.cn/tutor_detail.php?id=12496
中国科学技术大学,化学物理系,吴奇,http://cksp.eol.cn/tutor_detail.php?id=11981
中国科学技术大学,化学物理系,朱清时,http://cksp.eol.cn/tutor_detail.php?id=11913
中国科学技术大学,计算机科学技术系,陈国良,http://cksp.eol.cn/tutor_detail.php?id=11872
中国科学技术大学,自动化系,龚惠兴,http://cksp.eol.cn/tutor_detail.php?id=11856
中国科学技术大学,理学院,杨国桢,http://cksp.eol.cn/tutor_detail.php?id=11681
中国科学技术大学,理学院,周又元,http://cksp.eol.cn/tutor_detail.php?id=11680
中国科学技术大学,理学院,侯建国,http://cksp.eol.cn/tutor_detail.php?id=11679
中国科学技术大学,理学院,郭光灿,http://cksp.eol.cn/tutor_detail.php?id=11678
中国科学技术大学,理学院,张裕恒,http://cksp.eol.cn/tutor_detail.php?id=11677
中国科学技术大学,理学院,张家铝,http://cksp.eol.cn/tutor_detail.php?id=11676
中国科学技术大学,理学院,俞昌旋,http://cksp.eol.cn/tutor_detail.php?id=11675
浙江大学,医学院,曹雪涛,http://cksp.eol.cn/tutor_detail.php?id=11556
江南大学,发酵工程系,伦世仪,http://cksp.eol.cn/tutor_detail.php?id=11132
南京大学,医学院,刘志红,http://cksp.eol.cn/tutor_detail.php?id=10112
南京大学,技术学院,张淑仪,http://cksp.eol.cn/tutor_detail.php?id=9914
南京大学,地学院,王颖,http://cksp.eol.cn/tutor_detail.php?id=9879
吉林大学,环境与资源学院,林学钰,http://cksp.eol.cn/tutor_detail.php?id=8348
北京大学,环境科学与工程学院,唐孝炎,http://cksp.eol.cn/tutor_detail.php?id=7287
北京大学,化学与分子工程学院,黄春辉,http://cksp.eol.cn/tutor_detail.php?id=6899
清华大学,理学院,赵玉芬,http://cksp.eol.cn/tutor_detail.php?id=6084
上海交通大学,瑞金医院,陈赛娟,http://cksp.eol.cn/tutor_detail.php?id=4148
上海交通大学,生命科学技术学院,陈亚珠,http://cksp.eol.cn/tutor_detail.php?id=3858
复旦大学,医学院,闻玉梅,http://cksp.eol.cn/tutor_detail.php?id=2881
复旦大学,化学系,黄春辉,http://cksp.eol.cn/tutor_detail.php?id=2862
复旦大学,物理数学系,胡和生,http://cksp.eol.cn/tutor_detail.php?id=2861
中国农业大学,,陈文新,http://cksp.eol.cn/tutor_detail.php?id=1561
北京科技大学,冶金与生态工程学院冶金与材料史...,孙淑云,http://cksp.eol.cn/tutor_detail.php?id=1366
北京理工大学,信息科学技术学院模式识别与智能...,任雪梅,http://cksp.eol.cn/tutor_detail.php?id=1064
北京工业大学,环境与能源工程学院环境科学与工...,王淑莹,http://cksp.eol.cn/tutor_detail.php?id=470
清华大学,理学院,邝宇平,http://cksp.eol.cn/tutor_detail.php?id=6078
清华大学,理学院,王崇愚,http://cksp.eol.cn/tutor_detail.php?id=6077
清华大学,信息科学与技术学院,李衍达,http://cksp.eol.cn/tutor_detail.php?id=6076
清华大学,信息科学与技术学院,李志坚,http://cksp.eol.cn/tutor_detail.php?id=6075
清华大学,信息科学与技术学院,吴澄,http://cksp.eol.cn/tutor_detail.php?id=6074
清华大学,信息科学与技术学院,吴佑寿,http://cksp.eol.cn/tutor_detail.php?id=6073
清华大学,信息科学与技术学院,周炳琨,http://cksp.eol.cn/tutor_detail.php?id=6072
清华大学,信息科学与技术学院,张钹,http://cksp.eol.cn/tutor_detail.php?id=6071
清华大学,信息科学与技术学院,李三立,http://cksp.eol.cn/tutor_detail.php?id=6070
清华大学,信息科学技术学院,孙家广,http://cksp.eol.cn/tutor_detail.php?id=6069
清华大学,航天航空学院,杨卫,http://cksp.eol.cn/tutor_detail.php?id=6049
清华大学,航天航空学院,黄克智,http://cksp.eol.cn/tutor_detail.php?id=6048
清华大学,航天航空学院,过增元,http://cksp.eol.cn/tutor_detail.php?id=6047
清华大学,建筑学院,文国玮,http://cksp.eol.cn/tutor_detail.php?id=5992
清华大学,建筑学院,关肇邺,http://cksp.eol.cn/tutor_detail.php?id=5975
内蒙古大学,生命科学学院,旭日干,http://cksp.eol.cn/tutor_detail.php?id=5801
太原理工大学,煤科学与技术国家教育部和山西省...,谢克昌,http://cksp.eol.cn/tutor_detail.php?id=5757
太原理工大学,煤科学与技术重点实验室,谢克昌,http://cksp.eol.cn/tutor_detail.php?id=5745
西南大学,材料科学与工程学院,曾苏民,http://cksp.eol.cn/tutor_detail.php?id=5616
西南大学,地理科学学院,袁道先,http://cksp.eol.cn/tutor_detail.php?id=5600
四川大学,,宁虹,http://cksp.eol.cn/tutor_detail.php?id=30965
四川大学,,陈跃,http://cksp.eol.cn/tutor_detail.php?id=30964
四川大学,,孙蕾,http://cksp.eol.cn/tutor_detail.php?id=30963
四川大学,,戴珊,http://cksp.eol.cn/tutor_detail.php?id=30962
四川大学,,杨光,http://cksp.eol.cn/tutor_detail.php?id=30961
四川大学,,石坚,http://cksp.eol.cn/tutor_detail.php?id=30960
四川大学,,叶英,http://cksp.eol.cn/tutor_detail.php?id=30959
四川大学,,李毅,http://cksp.eol.cn/tutor_detail.php?id=30958
四川大学,,李兵,http://cksp.eol.cn/tutor_detail.php?id=30957
四川大学,,何萍,http://cksp.eol.cn/tutor_detail.php?id=30956
四川大学,,陈杰,http://cksp.eol.cn/tutor_detail.php?id=30955
四川大学,,查日新,http://cksp.eol.cn/tutor_detail.php?id=30954
四川大学,,张邦凯,http://cksp.eol.cn/tutor_detail.php?id=30953
四川大学,,王珏,http://cksp.eol.cn/tutor_detail.php?id=30952
四川大学,,陈焕仁,http://cksp.eol.cn/tutor_detail.php?id=30951
四川大学,,彭虹,http://cksp.eol.cn/tutor_detail.php?id=30950
四川大学,,杨效宏,http://cksp.eol.cn/tutor_detail.php?id=30949
四川大学,,杨晓明,http://cksp.eol.cn/tutor_detail.php?id=30948
四川大学,,蒋荣昌,http://cksp.eol.cn/tutor_detail.php?id=30947
四川大学,,白冰,http://cksp.eol.cn/tutor_detail.php?id=30946
上海交通大学,,张杰,http://cksp.eol.cn/tutor_detail.php?id=7955
东北大学,信息科学与工程学院,柴天佑,http://cksp.eol.cn/tutor_detail.php?id=7523
东北大学,资源与土木工程学院,孙传尧,http://cksp.eol.cn/tutor_detail.php?id=7513
东北大学,理学院,方肇伦,http://cksp.eol.cn/tutor_detail.php?id=7466
北京大学,物理学院,唐孝威,http://cksp.eol.cn/tutor_detail.php?id=7330
北京大学,物理学院,陈佳洱,http://cksp.eol.cn/tutor_detail.php?id=7329
北京大学,信息科学技术学院,邬贺铨,http://cksp.eol.cn/tutor_detail.php?id=7308
北京大学,信息科学技术学院,何新贵,http://cksp.eol.cn/tutor_detail.php?id=7278
北京大学,信息科学技术学院,沈昌祥,http://cksp.eol.cn/tutor_detail.php?id=7253
北京大学,信息科学技术学院,王阳元,http://cksp.eol.cn/tutor_detail.php?id=7223
北京大学,工学院,黄琳,http://cksp.eol.cn/tutor_detail.php?id=7188
北京大学,生命科学学院,朱作言,http://cksp.eol.cn/tutor_detail.php?id=7142
北京大学,生命科学学院,翟中和,http://cksp.eol.cn/tutor_detail.php?id=7141
北京大学,生命科学学院,许智宏,http://cksp.eol.cn/tutor_detail.php?id=7120
北京大学,地球与空间科学学院,马宗晋,http://cksp.eol.cn/tutor_detail.php?id=7105
