学校,学院,姓名,url
北京大学,地球与空间科学学院,董申保,http://cksp.eol.cn/tutor_detail.php?id=7084
北京大学,地球与空间科学学院,涂传诒,http://cksp.eol.cn/tutor_detail.php?id=7080
北京大学,地球与空间科学学院,陈运泰,http://cksp.eol.cn/tutor_detail.php?id=7072
北京大学,物理学院,周秀骥,http://cksp.eol.cn/tutor_detail.php?id=7064
四川大学,,吴永强,http://cksp.eol.cn/tutor_detail.php?id=30985
四川大学,,彭肜,http://cksp.eol.cn/tutor_detail.php?id=30984
四川大学,,黄宗贤,http://cksp.eol.cn/tutor_detail.php?id=30983
四川大学,,卢丁,http://cksp.eol.cn/tutor_detail.php?id=30982
四川大学,,周军,http://cksp.eol.cn/tutor_detail.php?id=30981
四川大学,,黎宏,http://cksp.eol.cn/tutor_detail.php?id=30980
四川大学,,邓刚,http://cksp.eol.cn/tutor_detail.php?id=30979
四川大学,,张基佩,http://cksp.eol.cn/tutor_detail.php?id=30978
四川大学,,任文,http://cksp.eol.cn/tutor_detail.php?id=30977
四川大学,,曹明伦,http://cksp.eol.cn/tutor_detail.php?id=30976
四川大学,,刘利民,http://cksp.eol.cn/tutor_detail.php?id=30975
四川大学,,蒋红柳,http://cksp.eol.cn/tutor_detail.php?id=30974
四川大学,,高红,http://cksp.eol.cn/tutor_detail.php?id=30973
四川大学,,段峰,http://cksp.eol.cn/tutor_detail.php?id=30972
四川大学,,张平,http://cksp.eol.cn/tutor_detail.php?id=30971
四川大学,,张珏,http://cksp.eol.cn/tutor_detail.php?id=30970
四川大学,,王蜀豫,http://cksp.eol.cn/tutor_detail.php?id=30969
四川大学,,林敏,http://cksp.eol.cn/tutor_detail.php?id=30968
四川大学,,高晓钢,http://cksp.eol.cn/tutor_detail.php?id=30967
四川大学,,陈晓琴,http://cksp.eol.cn/tutor_detail.php?id=30966
中国科学院武汉岩...,,葛修润,http://cksp.eol.cn/tutor_detail.php?id=1231
东华大学,化学化工与生物工程学院,张友尚,http://cksp.eol.cn/tutor_detail.php?id=14999
中国气象科学研究...,,许健民,http://cksp.eol.cn/tutor_detail.php?id=14732
中国气象科学研究...,,李泽椿,http://cksp.eol.cn/tutor_detail.php?id=14731
中国气象科学研究...,,丑纪范,http://cksp.eol.cn/tutor_detail.php?id=14730
中国气象科学研究...,,陈联寿,http://cksp.eol.cn/tutor_detail.php?id=14729
中国气象科学研究...,,周秀骥,http://cksp.eol.cn/tutor_detail.php?id=14728
中国气象科学研究...,,张人禾,http://cksp.eol.cn/tutor_detail.php?id=14727
中国气象科学研究...,,郑国光,http://cksp.eol.cn/tutor_detail.php?id=14726
中国气象科学研究...,,秦大河,http://cksp.eol.cn/tutor_detail.php?id=14725
中国石油大学(华...,石油工程学院,苏义脑,http://cksp.eol.cn/tutor_detail.php?id=14377
中国石油大学(华...,石油工程学院,沈忠厚,http://cksp.eol.cn/tutor_detail.php?id=14376
中国海洋大学,环境科学与工程学院,丁德文,http://cksp.eol.cn/tutor_detail.php?id=14231
中国海洋大学,环境科学与工程学院,刘鸿亮,http://cksp.eol.cn/tutor_detail.php?id=14230
中国海洋大学,海洋地球科学学院,李庆忠,http://cksp.eol.cn/tutor_detail.php?id=14087
中国海洋大学,水产学院,管华诗,http://cksp.eol.cn/tutor_detail.php?id=14012
中国海洋大学,海洋环境学院,冯士,http://cksp.eol.cn/tutor_detail.php?id=14001
中国海洋大学,海洋环境学院,文圣常,http://cksp.eol.cn/tutor_detail.php?id=14000
山东大学,机械工程学院,艾兴,http://cksp.eol.cn/tutor_detail.php?id=13694
山东大学,电气工程学院,唐任远,http://cksp.eol.cn/tutor_detail.php?id=13650
四川大学,,王玉良,http://cksp.eol.cn/tutor_detail.php?id=31005
四川大学,,侯太平,http://cksp.eol.cn/tutor_detail.php?id=31004
四川大学,,李红霞,http://cksp.eol.cn/tutor_detail.php?id=31003
四川大学,,徐培渝,http://cksp.eol.cn/tutor_detail.php?id=31002
四川大学,,张立实,http://cksp.eol.cn/tutor_detail.php?id=31001
四川大学,,何亚萍,http://cksp.eol.cn/tutor_detail.php?id=31000
四川大学,,岳利民,http://cksp.eol.cn/tutor_detail.php?id=30999
四川大学,,周华,http://cksp.eol.cn/tutor_detail.php?id=30998
四川大学,,郑煜,http://cksp.eol.cn/tutor_detail.php?id=30997
四川大学,,李章政,http://cksp.eol.cn/tutor_detail.php?id=30996
四川大学,,曾祥国,http://cksp.eol.cn/tutor_detail.php?id=30995
四川大学,,王清远,http://cksp.eol.cn/tutor_detail.php?id=30994
四川大学,,董世明,http://cksp.eol.cn/tutor_detail.php?id=30993
四川大学,,王晓春,http://cksp.eol.cn/tutor_detail.php?id=30992
四川大学,,朱哲明,http://cksp.eol.cn/tutor_detail.php?id=30991
四川大学,,刘展,http://cksp.eol.cn/tutor_detail.php?id=30990
四川大学,,魏泳涛,http://cksp.eol.cn/tutor_detail.php?id=30989
四川大学,,蒋文涛,http://cksp.eol.cn/tutor_detail.php?id=30988
四川大学,,汪雁翎,http://cksp.eol.cn/tutor_detail.php?id=30987
四川大学,,李艳,http://cksp.eol.cn/tutor_detail.php?id=30986
上海交通大学,理学院(物理系),雷啸霖,http://cksp.eol.cn/tutor_detail.php?id=3802
上海交通大学,材料科学与工程学院,徐祖耀,http://cksp.eol.cn/tutor_detail.php?id=3756
上海交通大学,电子信息与电气工程学院,钟山,http://cksp.eol.cn/tutor_detail.php?id=3708
上海交通大学,电子信息与电气工程学院,刘永坦,http://cksp.eol.cn/tutor_detail.php?id=3684
上海交通大学,电子信息与电气工程学院,李乐民,http://cksp.eol.cn/tutor_detail.php?id=3679
上海交通大学,电子信息与电气工程学院,薛永祺,http://cksp.eol.cn/tutor_detail.php?id=3605
上海交通大学,电子信息与电气工程学院,饶芳权,http://cksp.eol.cn/tutor_detail.php?id=3563
上海交通大学,机械与动力工程学院,徐旭常,http://cksp.eol.cn/tutor_detail.php?id=3531
上海交通大学,机械与动力工程学院,徐建中,http://cksp.eol.cn/tutor_detail.php?id=3529
上海交通大学,机械与动力工程学院,翁一武,http://cksp.eol.cn/tutor_detail.php?id=3525
上海交通大学,机械与动力工程学院,翁史烈,http://cksp.eol.cn/tutor_detail.php?id=3524
上海交通大学,机械与动力工程学院,黄其励,http://cksp.eol.cn/tutor_detail.php?id=3507
上海交通大学,机械与动力工程学院,陈士橹,http://cksp.eol.cn/tutor_detail.php?id=3495
上海交通大学,机械与动力工程学院,姚福生,http://cksp.eol.cn/tutor_detail.php?id=3469
上海交通大学,机械与动力工程学院,谢友柏,http://cksp.eol.cn/tutor_detail.php?id=3464
上海交通大学,船舶海洋与建筑工程学院,何友声,http://cksp.eol.cn/tutor_detail.php?id=3360
上海大学,计算机工程与科学学院,李三立,http://cksp.eol.cn/tutor_detail.php?id=3106
上海大学,环境与化学工程学院,傅家谟,http://cksp.eol.cn/tutor_detail.php?id=3098
上海大学,理学院,钱伟长,http://cksp.eol.cn/tutor_detail.php?id=2964
南京大学,医学院,黎介寿,http://cksp.eol.cn/tutor_detail.php?id=10110
南京大学,化学化工学院,游效曾,http://cksp.eol.cn/tutor_detail.php?id=10058
南京大学,化学化工学院,江元生,http://cksp.eol.cn/tutor_detail.php?id=10057
南京大学,化学化工学院,胡宏纹,http://cksp.eol.cn/tutor_detail.php?id=10056
南京大学,化学化工学院,高鸿,http://cksp.eol.cn/tutor_detail.php?id=10055
南京大学,化学化工学院,程,http://cksp.eol.cn/tutor_detail.php?id=10054
南京大学,化学化工学院,陈洪渊,http://cksp.eol.cn/tutor_detail.php?id=10053
南京大学,化学化工学院,陈懿,http://cksp.eol.cn/tutor_detail.php?id=10052
南京大学,技术学院,闵乃本,http://cksp.eol.cn/tutor_detail.php?id=9935
南京大学,技术学院,吴培亨,http://cksp.eol.cn/tutor_detail.php?id=9915
南京大学,技术学院,魏荣爵,http://cksp.eol.cn/tutor_detail.php?id=9913
南京大学,技术学院,孙钟秀,http://cksp.eol.cn/tutor_detail.php?id=9894
南京大学,地学院,任美锷,http://cksp.eol.cn/tutor_detail.php?id=9878
南京大学,地学院,王德滋,http://cksp.eol.cn/tutor_detail.php?id=9832
南京大学,地学院,郭令智,http://cksp.eol.cn/tutor_detail.php?id=9831
东北农业大学,工程学院,蒋亦元,http://cksp.eol.cn/tutor_detail.php?id=9507
哈尔滨工业大学,一般力学与力学基础,陈予恕,http://cksp.eol.cn/tutor_detail.php?id=9185
哈尔滨工业大学,通讯与信息系统,张宁,http://cksp.eol.cn/tutor_detail.php?id=9141
四川大学,,高平,http://cksp.eol.cn/tutor_detail.php?id=31025
四川大学,,冯红,http://cksp.eol.cn/tutor_detail.php?id=31024
四川大学,,王茂林,http://cksp.eol.cn/tutor_detail.php?id=31023
四川大学,,高荣,http://cksp.eol.cn/tutor_detail.php?id=31022
四川大学,,赵云,http://cksp.eol.cn/tutor_detail.php?id=31021
四川大学,,杨毅,http://cksp.eol.cn/tutor_detail.php?id=31020
四川大学,,李旭锋,http://cksp.eol.cn/tutor_detail.php?id=31019
四川大学,,张义正,http://cksp.eol.cn/tutor_detail.php?id=31018
四川大学,,张浩,http://cksp.eol.cn/tutor_detail.php?id=31017
四川大学,,张遵真,http://cksp.eol.cn/tutor_detail.php?id=31016
四川大学,,赵立强,http://cksp.eol.cn/tutor_detail.php?id=31015
四川大学,,张晓晴,http://cksp.eol.cn/tutor_detail.php?id=31014
四川大学,,杨跃林,http://cksp.eol.cn/tutor_detail.php?id=31013
四川大学,,兰亚佳,http://cksp.eol.cn/tutor_detail.php?id=31012
四川大学,,张文学,http://cksp.eol.cn/tutor_detail.php?id=31011
四川大学,,姚开,http://cksp.eol.cn/tutor_detail.php?id=31010
四川大学,,高鸿,http://cksp.eol.cn/tutor_detail.php?id=31009
四川大学,,吕远平,http://cksp.eol.cn/tutor_detail.php?id=31008
四川大学,,冉旭,http://cksp.eol.cn/tutor_detail.php?id=31007
四川大学,,刘文,http://cksp.eol.cn/tutor_detail.php?id=31006
中国农业大学,,吴常信,http://cksp.eol.cn/tutor_detail.php?id=1563
中国农业大学,,李季伦,http://cksp.eol.cn/tutor_detail.php?id=1562
中国农业大学,,石元春,http://cksp.eol.cn/tutor_detail.php?id=1560
中国农业大学,,娄成后,http://cksp.eol.cn/tutor_detail.php?id=1559
北京科技大学,机械工程学院,王宝雨,http://cksp.eol.cn/tutor_detail.php?id=1422
北京科技大学,机械工程学院,张康生,http://cksp.eol.cn/tutor_detail.php?id=1414
北京科技大学,机械工程学院,张清东,http://cksp.eol.cn/tutor_detail.php?id=1411
北京科技大学,机械工程学院,张杰,http://cksp.eol.cn/tutor_detail.php?id=1401
北京科技大学,机械工程学院,胡正寰,http://cksp.eol.cn/tutor_detail.php?id=1377
北京科技大学,机械工程学院,陈先霖,http://cksp.eol.cn/tutor_detail.php?id=1373
北京科技大学,冶金与生态工程学院冶金与材料史...,李延祥,http://cksp.eol.cn/tutor_detail.php?id=1365
北京科技大学,冶金与生态工程学院冶金与材料史...,李晓岑,http://cksp.eol.cn/tutor_detail.php?id=1363
北京科技大学,冶金与生态工程学院物理化学系,周国治,http://cksp.eol.cn/tutor_detail.php?id=1269
北京科技大学,冶金与生态工程学院冶金与材料史...,柯俊,http://cksp.eol.cn/tutor_detail.php?id=1267
北京科技大学,冶金与生态工程学院物理化学系,魏寿昆,http://cksp.eol.cn/tutor_detail.php?id=1264
北京理工大学,信息科学技术学院信号与信息处理,毛二可,http://cksp.eol.cn/tutor_detail.php?id=992
北京理工大学,信息科学技术学院通信与信息系统,王越,http://cksp.eol.cn/tutor_detail.php?id=974
复旦大学,数学系,洪家兴,http://cksp.eol.cn/tutor_detail.php?id=2860
复旦大学,生物学系,贺福初,http://cksp.eol.cn/tutor_detail.php?id=2859
复旦大学,物理数学系,郝柏林,http://cksp.eol.cn/tutor_detail.php?id=2858
复旦大学,数学系,谷超豪,http://cksp.eol.cn/tutor_detail.php?id=2857
复旦大学,光学系,干福熹,http://cksp.eol.cn/tutor_detail.php?id=2856
北京邮电大学,信息工程学院,周炯,http://cksp.eol.cn/tutor_detail.php?id=2694
北京邮电大学,计算机科学与技术学院,陈俊亮,http://cksp.eol.cn/tutor_detail.php?id=2601
北京邮电大学,电信工程学院,叶培大,http://cksp.eol.cn/tutor_detail.php?id=2514
北京师范大学,化学学院,刘伯里,http://cksp.eol.cn/tutor_detail.php?id=2353
北京师范大学,管理学院,李京文,http://cksp.eol.cn/tutor_detail.php?id=2236
北京师范大学,生命科学学院,孙儒泳,http://cksp.eol.cn/tutor_detail.php?id=2143
北京师范大学,信息科学与技术学院,李小文,http://cksp.eol.cn/tutor_detail.php?id=2081
北京师范大学,信息科学与技术学院,戴汝为,http://cksp.eol.cn/tutor_detail.php?id=2080
北京师范大学,信息科学与技术学院,汪成为,http://cksp.eol.cn/tutor_detail.php?id=2079
北京师范大学,数学科学学院,陈木法,http://cksp.eol.cn/tutor_detail.php?id=2033
北京林业大学,水土保持学院,关君蔚,http://cksp.eol.cn/tutor_detail.php?id=1568
中国农业大学,,戴景瑞,http://cksp.eol.cn/tutor_detail.php?id=1567
中国农业大学,,汪懋华,http://cksp.eol.cn/tutor_detail.php?id=1566
中国农业大学,,曾德超,http://cksp.eol.cn/tutor_detail.php?id=1565
中国农业大学,,曾士迈,http://cksp.eol.cn/tutor_detail.php?id=1564
四川大学,,卿人韦,http://cksp.eol.cn/tutor_detail.php?id=31045
四川大学,,周颂东,http://cksp.eol.cn/tutor_detail.php?id=31044
四川大学,,席德慧,http://cksp.eol.cn/tutor_detail.php?id=31043
四川大学,,白洁,http://cksp.eol.cn/tutor_detail.php?id=31042
四川大学,,徐莺,http://cksp.eol.cn/tutor_detail.php?id=31041
四川大学,,王胜华,http://cksp.eol.cn/tutor_detail.php?id=31040
四川大学,,王丽,http://cksp.eol.cn/tutor_detail.php?id=31039
四川大学,,兰利琼,http://cksp.eol.cn/tutor_detail.php?id=31038
四川大学,,唐琳,http://cksp.eol.cn/tutor_detail.php?id=31037
四川大学,,何兴金,http://cksp.eol.cn/tutor_detail.php?id=31036
四川大学,,刘永胜,http://cksp.eol.cn/tutor_detail.php?id=31035
四川大学,,林宏辉,http://cksp.eol.cn/tutor_detail.php?id=31034
四川大学,,陈放,http://cksp.eol.cn/tutor_detail.php?id=31033
四川大学,,邹东方,http://cksp.eol.cn/tutor_detail.php?id=31032
四川大学,,宋旭,http://cksp.eol.cn/tutor_detail.php?id=31031
四川大学,,梁朋,http://cksp.eol.cn/tutor_detail.php?id=31030
四川大学,,肖智雄,http://cksp.eol.cn/tutor_detail.php?id=31029
四川大学,,王健美,http://cksp.eol.cn/tutor_detail.php?id=31028
四川大学,,王海燕,http://cksp.eol.cn/tutor_detail.php?id=31027
四川大学,,丁显平,http://cksp.eol.cn/tutor_detail.php?id=31026
南京理工大学,化工学院,王泽山,http://cksp.eol.cn/tutor_detail.php?id=11033
南京理工大学,机械工程学院,朵英贤,http://cksp.eol.cn/tutor_detail.php?id=10980
河海大学,研究生院,梁应辰,http://cksp.eol.cn/tutor_detail.php?id=10940
河海大学,研究生院,周君亮,http://cksp.eol.cn/tutor_detail.php?id=10926
河海大学,研究生院,陈厚群,http://cksp.eol.cn/tutor_detail.php?id=10925
河海大学,研究生院,吴中如,http://cksp.eol.cn/tutor_detail.php?id=10919
河海大学,研究生院,卢耀如,http://cksp.eol.cn/tutor_detail.php?id=10910
河海大学,研究生院,严恺,http://cksp.eol.cn/tutor_detail.php?id=10900
河海大学,研究生院,孙树林,http://cksp.eol.cn/tutor_detail.php?id=10897
中国药科大学,药学院,彭司勋,http://cksp.eol.cn/tutor_detail.php?id=10869
中国矿业大学,化工学院,陈清如,http://cksp.eol.cn/tutor_detail.php?id=10798
苏州大学,附一院,阮长耿,http://cksp.eol.cn/tutor_detail.php?id=10542
苏州大学,化学化工学院,江龙,http://cksp.eol.cn/tutor_detail.php?id=10510
苏州大学,现代光学技术研究所,潘君骅,http://cksp.eol.cn/tutor_detail.php?id=10493
苏州大学,现代光学技术研究所,余景池,http://cksp.eol.cn/tutor_detail.php?id=10492
苏州大学,现代光学技术研究所,薛鸣球,http://cksp.eol.cn/tutor_detail.php?id=10491
东南大学,材料科学与工程学院,孙伟,http://cksp.eol.cn/tutor_detail.php?id=10362
东南大学,计算机科学与工程系,顾冠群,http://cksp.eol.cn/tutor_detail.php?id=10349
