学校,学院,url
中国矿业大学,信息与控制工程学院,http://siee.cumt.edu.cn/243/list.htm
西南大学,电子信息工程学院,http://ceie.swu.edu.cn/viscms/ceieidex/jiaoshoujieshao5422/
西南大学,电子信息工程学院,http://ceie.swu.edu.cn/viscms/ceieidex/fujiaoshoujieshao9499/
长春理工大学,电子信息工程学院,http://dx.cust.edu.cn/Article.asp?PageClass=10503
长春理工大学,电子信息工程学院,http://dx.cust.edu.cn/Article.asp?PageClass=10504
长春理工大学,电子信息工程学院,http://dx.cust.edu.cn/Article.asp?PageClass=10506
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1330.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1035.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1038.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1037.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1034.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1041.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1036.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1040.htm
吉林工程技术师范学院,信息工程学院,http://xxxy.jltiet.edu.cn/info/1042/1039.htm
信息工程学院,信息工程学院,http://xxgcxy.cjlu.edu.cn/index.php/Index/content?id=369
信息工程学院,信息工程学院,http://xxgcxy.cjlu.edu.cn/index.php/Index/content?id=370
黑龙江大学,电子工程学院,http://www.hlju.edu.cn/jsdw.htm
黑龙江大学,电子工程学院,http://www.hlju.edu.cn/jsdw/jcrc.htm
黑龙江大学,电子工程学院,http://www.hlju.edu.cn/jsdw/jxms.htm
黑龙江大学,电子工程学院,http://www.hlju.edu.cn/jsdw/xkdtr_.htm
湖北汽车工业学院,电气与信息工程学院,http://dxxy.huat.edu.cn/ejym_jslb.aspx?gndm=010202
黄冈师范学院,电子信息学院,http://221.233.162.243:8086/index.php?r=default/page/index&id=100107
湖北理工学院,电气与电子信息工程学院,http://dq.hbpu.edu.cn/class-14-43.aspx
湖北理工学院,电气与电子信息工程学院,http://dq.hbpu.edu.cn/class-14-43(2).aspx
淮海工学院,电子工程学院,http://dzgcxy.hhit.edu.cn/xygk/bmcy.htm
广东技术师范学院,电子与信息学院,http://dxxy.gpnu.edu.cn/szdw/zrjs.htm
邯郸学院,信息工程学院,http://xxgc.hdc.edu.cn/szdw/index.jhtml
合肥师范学院,电子信息工程学院,http://dxxy.hfnu.edu.cn/info/1134/5030.htm
