院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
长治职业技术学院,山西,山西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1041.dhtml,,0,
山西应用科技学院,山西,山西省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1260.dhtml,http://www.astsxc.com,0,
山西戏剧职业学院,山西,山西省教育厅,艺术,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1362.dhtml,,0,
阳泉职业技术学院,山西,山西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1366.dhtml,,0,
沧州医学高等专科学校,河北,河北省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2018.dhtml,,0,
河北东方学院,河北,河北省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18670467.dhtml,http://www.dfzy.edu.cn,0,
泊头职业学院,河北,河北省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57298883.dhtml,,0,
石家庄幼儿师范高等专科学校,河北,河北省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-170441861.dhtml,http://www.sjzysgz.com,0,
天津冶金职业技术学院,天津,天津市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1940.dhtml,http://www.tjmvti.cn,0,
天津体育职业学院,天津,天津市教育委员会,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1821221077.dhtml,,0,
山西青年职业学院,山西,山西省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5038681.dhtml,,0,
吕梁职业技术学院,山西,山西省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-984824506.dhtml,,0,
内蒙古科技大学,内蒙古,内蒙古自治区教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-108.dhtml,http://www.imust.cn,0,
呼和浩特民族学院,内蒙古,内蒙古自治区教育厅,语言,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-890.dhtml,http://www.imnc.edu.cn?,0,
华北科技学院,河北,国家安全生产监督管理总局,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-730.dhtml,http://www.ncist.edu.cn,0,
廊坊师范学院,河北,河北省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-84.dhtml,,0,
北京城市学院,北京,北京市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-800.dhtml,：http://www.bcu.edu.cn,0,
鄂尔多斯生态环境职业学院,内蒙古,内蒙古自治区教育厅,农业,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-976517616.dhtml,http://www.ordosnmxx.com.cn,0,
扎兰屯职业学院,内蒙古,内蒙古自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1449156473.dhtml,,0,
大连工业大学,辽宁,辽宁省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-128.dhtml,：http://www.dlpu.edu.cn,0,
沈阳农业大学,辽宁,辽宁省教育厅,农业,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-131.dhtml,http://www.syau.edu.cn,0,
沈阳药科大学,辽宁,辽宁省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-137.dhtml,http://www.syphu.edu.cn,0,
北京交通大学,北京,教育部,工科,本科/高职(专科),-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-4.dhtml,：http://www.bjtu.edu.cn：zsw.bjtu.edu.cn,0,
北京科技大学,北京,教育部,工科,本科/高职(专科),-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-8.dhtml,http://zhaosheng.ustb.edu.cn,0,
北京卫生职业学院,北京,北京市教育委员会,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-358682152.dhtml,,0,
中国社会科学院大学,北京,中国社会科学院,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1824984166.dhtml,,0,
宿州学院,安徽,安徽省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-295.dhtml,http://www.ahszu.edu.cn,0,
北京外国语大学,北京,教育部,语言,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-27.dhtml,http://www.bfsu.edu.cn,0,
北京现代职业技术学院,北京,北京市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1103.dhtml,,0,
北京邮电大学世纪学院,北京,北京市教育委员会,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-403209.dhtml,http://www.ccbupt.cn,0,
浙江大学宁波理工学院,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1482.dhtml,http://www.nit.net.cn,0,
嘉兴南洋职业技术学院,浙江,浙江省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1486.dhtml,http://www.jxnyc.net,0,
温州医科大学仁济学院,浙江,浙江省教育厅,医药,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1629.dhtml,http://rjxy.wmu.edu.cn,0,
浙江经贸职业技术学院,浙江,浙江省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1338.dhtml,http://zs.zjiet.edu.cn,0,
湖州职业技术学院,浙江,浙江省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1349.dhtml,,0,
浙江大学城市学院,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1481.dhtml,zs.zucc.edu.cn,0,
南京城市职业学院,江苏,江苏省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1825998167.dhtml,,0,
江苏城乡建设职业学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1668760912.dhtml,,0,
江苏旅游职业学院,江苏,江苏省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1823429829.dhtml,,0,
苏州幼儿师范高等专科学校,江苏,江苏省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1818753924.dhtml,,0,
中国人民大学(苏州校区),江苏,教育部,综合,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-.dhtml, ,0,
江苏省青年管理干部学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57305021.dhtml,,0,
杭州电子科技大学,浙江,浙江省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-257.dhtml,http://www.hdu.edu.cn,0,
吐鲁番职业技术学院,新疆,新疆维吾尔自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672680699.dhtml,,0,
宁夏体育职业学院,宁夏,宁夏回族自治区教育厅,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1993425031.dhtml,,0,
甘肃能源化工职业学院,甘肃,甘肃省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1832284701.dhtml,,0,
青海高等职业技术学院,青海,青海省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1432313015.dhtml,,0,
温州肯恩大学,浙江,浙江省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-976553154.dhtml,http://www.wku.edu.cn/zh-hans/,0,
浙江大学医学院,浙江,教育部,医药,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1453943310.dhtml,,0,
甘肃工业职业技术学院,甘肃,甘肃省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1317.dhtml,http://www.gipc.edu.cn/,0,
甘肃卫生职业学院,甘肃,甘肃省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1812006638.dhtml,,0,
庆阳职业技术学院,甘肃,甘肃省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1807486312.dhtml,,0,
咸阳职业技术学院,陕西,陕西省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5034972.dhtml,http://www.xianyangzhiyuan.cn/,0,
浙江医药高等专科学校,浙江,浙江省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1334.dhtml,http://www.zjpc.net.cn,0,
长安大学兴华学院,陕西,陕西省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5463003.dhtml,,0,
西安电力机械制造公司机电学院,陕西,陕西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5374970.dhtml,,0,
曲靖医学高等专科学校,云南,云南省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5357462.dhtml,http://www.qjyz.org,0,
云南现代职业技术学院,云南,云南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-578469832.dhtml,,0,
铜仁幼儿师范高等专科学校,贵州,贵州省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-949071475.dhtml,,0,
毕节医学高等专科学校,贵州,贵州省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-994326590.dhtml,,0,
贵州建设职业技术学院,贵州,贵州省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-989137558.dhtml,,0,
贵州农业职业学院,贵州,贵州省教育厅,农业,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1435985654.dhtml,,0,
贵州电子商务职业技术学院,贵州,贵州省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1815418927.dhtml,,0,
贵州应用技术职业学院,贵州,贵州省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1681040588.dhtml,,0,
贵州电子科技职业学院,贵州,贵州省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1678560196.dhtml,,0,
贵州经贸职业技术学院,贵州,贵州省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1822041636.dhtml,,0,
贵州护理职业技术学院,贵州,贵州省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1828933255.dhtml,,0,
贵州航空职业技术学院,贵州,贵州省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1683510599.dhtml,,0,
昆明理工大学,云南,云南省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-524.dhtml,http://www.kmust.edu.cn/,0,
云南农业大学,云南,云南省教育厅,农业,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-525.dhtml,http://www.ynau.edu.cn/,0,
贵阳幼儿师范高等专科学校,贵州,贵州省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-947198919.dhtml,,0,
四川文轩职业学院,四川,四川省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-617708242.dhtml,http://www.scwxzyxy.cn,0,
四川应用技术职业学院,四川,四川省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1434570783.dhtml,,0,
四川科技职业学院,四川,四川省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-623212.dhtml,http://www.scstc.cn,0,
四川文化产业职业学院,四川,四川省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1134796.dhtml,http://www.scvcci.cn,0,
四川三河职业学院,四川,四川省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-365617771.dhtml,,0,
四川工商职业技术学院,四川,四川省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1244.dhtml,,0,
红河卫生职业学院,云南,云南省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-574999061.dhtml,,0,
昆明铁道职业技术学院,云南,云南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1670660706.dhtml,,0,
昭通卫生职业学院,云南,云南省教育厅,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1670659385.dhtml,,0,
云南水利水电职业学院,云南,云南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1674117393.dhtml,,0,
云南工贸职业技术学院,云南,云南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1832262973.dhtml,,0,
云南交通运输职业学院,云南,云南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1832284988.dhtml,,0,
四川音乐学院,四川,四川省教育厅,艺术,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-506.dhtml,http://www.sccm.cn,0,
云南大学滇池学院,云南,云南省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1661.dhtml,,0,
重庆资源与环境保护职业学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672678602.dhtml,,0,
西南交通大学,四川,教育部,工科,本科,-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-471.dhtml,http://www.swjtu.edu.cn,0,
海南体育职业技术学院,海南,海南省教育厅,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1812888756.dhtml,,0,
四川文理学院,四川,四川省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-498.dhtml,http://zjc.sasu.cn,0,
阿坝师范学院,四川,四川省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-499.dhtml,http://www.abtc.edu.cn/,0,
广西安全工程职业技术学院,广西,广西壮族自治区教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1842552317.dhtml,,0,
陕西科技大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-554.dhtml,http://www.sust.edu.cn,0,
长安大学,陕西,教育部,工科,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-556.dhtml,http://zsb.chd.edu.cn,0,
重庆工程学院,重庆,重庆市教育委员会,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1135.dhtml,http://www.cqgcxy.com,0,
重庆大学城市科技学院,重庆,重庆市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-404772.dhtml,http://www.cqucc.com.cn,0,
广西英华国际职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1312008.dhtml,,0,
六盘水师范学院,贵州,贵州省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-683.dhtml,http://www.lpssy.edu.cn/,0,
成都文理学院,四川,四川省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1912.dhtml,http://www.cdcas.edu.cn/,0,
重庆青年职业技术学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5413010.dhtml,http://www.cqyu.edu.cn,0,
湘西民族职业技术学院,湖南,湖南省教育厅,民族,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2044.dhtml,,0,
益阳职业技术学院,湖南,湖南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2047.dhtml,,0,
湖南吉利汽车职业技术学院,湖南,湖南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1806815278.dhtml,,0,
湘中幼儿师范高等专科学校,湖南,湖南省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2000585532.dhtml,,0,
华南农业大学,广东,广东省教育厅,农业,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-432.dhtml,http://www.scau.edu.cn,0,
南华大学船山学院,湖南,湖南省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1157.dhtml,http://csxy.usc.edu.cn,0,
私立华联学院,广东,广东省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-738.dhtml,,0,
广东酒店管理职业技术学院,广东,广东省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1689626780.dhtml,,0,
惠州工程职业学院,广东,广东省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1834552911.dhtml,,0,
广东江门中医药职业学院,广东,广东省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1834452848.dhtml,,0,
北京师范大学-香港浸会大学联合国际学院,广东,广东省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-398036.dhtml,http://www.uic.edu.hk,0,
深圳北理莫斯科大学,广东,广东省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1783356075.dhtml,,0,
广州科技贸易职业学院,广东,广东省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5131503.dhtml,http://www.gzkmu.edu.cn,0,
郑州财税金融职业学院,河南,河南省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-616562094.dhtml,,0,
南阳农业职业学院,河南,河南省教育厅,农业,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1821217283.dhtml,,0,
鹤壁能源化工职业学院,河南,河南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2000590160.dhtml,,0,
三门峡社会管理职业学院,河南,河南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1823436641.dhtml,,0,
河南轻工职业学院,河南,河南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1825006374.dhtml,,0,
湖北体育职业学院,湖北,湖北省教育厅,体育,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-360062431.dhtml,http://www.hbtyzy.com,0,
襄阳汽车职业技术学院,湖北,湖北省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-349324031.dhtml,http://www.xyqczy.com,0,
荆门职业学院,湖北,湖北省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1999379416.dhtml,,0,
湖南科技学院,湖南,湖南省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-424.dhtml,,0,
河南艺术职业学院,河南,河南省教育厅,艺术,未知,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-57295060.dhtml,,0,
湖北美术学院,湖北,湖北省教育厅,艺术,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-404.dhtml,http://www.hifa.edu.cn/,0,
湖南九嶷职业技术学院,湖南,湖南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5269690.dhtml,http://www.hnxxjsxy.com/bagecms/index.php,0,
湖南科技工业职业技术学院,湖南,湖南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18483683.dhtml,http://www.hnkgzy.com/,0,
湖南涉外经济学院,湖南,湖南省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1006.dhtml,,0,
武汉学院,湖北,湖北省教育厅,财经,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1876.dhtml,http://zs.whxy.edu.cn,0,
湖北国土资源职业学院,湖北,湖北省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2039.dhtml,http://zsxx.hbgt.com.cn,0,
武汉交通职业学院,湖北,湖北省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1617.dhtml,http://www.whtcc.edu.cn,0,
菏泽职业学院,山东,山东省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-604877405.dhtml,WWW.HZZYXY.COM,0,
山东艺术设计职业学院,山东,山东省教育厅,艺术,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-962193709.dhtml,http://www.sysy.com.cn,0,
山东特殊教育职业学院,山东,山东省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1435924071.dhtml,,0,
济南大学泉城学院,山东,山东省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5570824.dhtml,http://www.ujnpl.com,0,
山东商务职业学院,山东,山东省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1333921.dhtml,http://www.sdbi.edu.cn,0,
山东轻工职业学院,山东,山东省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-5492035.dhtml,http://www.sdlivc.com,0,
青岛港湾职业技术学院,山东,山东省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1478.dhtml,http://www.qdgw.edu.cn,0,
山东胜利职业学院,山东,山东省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1651.dhtml,,0,
山东协和学院,山东,山东省教育厅,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1659.dhtml,http://www.sdxiehe.com,0,
青岛理工大学琴岛学院,山东,山东省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1701.dhtml,http://www.qdc.edu.cn,0,
河南信息统计职业学院,河南,河南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-603113983.dhtml,,0,
山东师范大学,山东,山东省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-348.dhtml,http://www.sdnu.edu.cn,0,
中原工学院,河南,河南省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-366.dhtml,,0,
信阳学院,河南,河南省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1776.dhtml,http://www.hrxy.edu.cn,0,
铁道警察学院,河南,公安部,政法,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1217.dhtml,http://www.rpc.edu.cn,0,
厦门大学嘉庚学院,福建,福建省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1764.dhtml,http://www.xujc.com,0,
南京工业大学浦江学院,江苏,江苏省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-6708738.dhtml,http://www.njpji.cn,0,
南京师范大学中北学院,江苏,江苏省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-6303182.dhtml,,0,
合肥科技职业学院,安徽,安徽省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-589807310.dhtml,,0,
南京财经大学红山学院,江苏,江苏省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-7215899.dhtml,http://hs.nufe.edu.cn,0,
宿迁学院,江苏,江苏省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1825888147.dhtml,,0,
徐州生物工程职业技术学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-617781920.dhtml,,0,
江苏信息职业技术学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1539.dhtml,http://www.jsit.edu.cn,0,
泰州学院,江苏,江苏省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1390.dhtml,http://www.tzu.edu.cn,0,
上海济光职业技术学院,上海,上海市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1279.dhtml,http://www.shjgu.edu.cn,0,
南京工业职业技术学院,江苏,江苏省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-635.dhtml,http://www.niit.edu.cn,0,
安徽信息工程学院,安徽,安徽省教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1858.dhtml,http://www.aiit.edu.cn/,0,
安徽国际商务职业学院,安徽,安徽省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2075.dhtml,：http://www.ahiib.com,0,
黑龙江农业工程职业学院,黑龙江,黑龙江省教育厅,农业,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1209.dhtml,http://www.hngzy.com,0,
吉林城市职业技术学院,吉林,吉林省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-363847649.dhtml,,0,
吉林职业技术学院,吉林,吉林省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1673454007.dhtml,,0,
吉林水利电力职业学院,吉林,吉林省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1820738948.dhtml,,0,
长春健康职业学院,吉林,吉林省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1821219755.dhtml,,0,
哈尔滨工业大学,黑龙江,工业和信息化部,工科,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-174.dhtml,http://www.hit.edu.cn/,0,
江西水利职业学院,江西,江西省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1800408822.dhtml,,0,
上饶幼儿师范高等专科学校,江西,江西省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1993617676.dhtml,,0,
