院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
重庆科技职业学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-604938661.dhtml,http://www.cqfzgc.com,1,
重庆护理职业学院,重庆,重庆市教育委员会,医药,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672434457.dhtml,http://www.cqnvc.com,1,
四川大学,四川,教育部,综合,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-469.dhtml,http://www.scu.edu.cn,1,
三亚城市职业学院,海南,海南省教育厅,语言,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1200.dhtml,http://www.sycsxy.cn,1,
海南软件职业技术学院,海南,海南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1824.dhtml,http://www.hncst.edu.cn,1,
海南政法职业学院,海南,海南省教育厅,政法,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1825.dhtml,http://www.hnplc.com/,1,
海南外国语职业学院,海南,海南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1826.dhtml,http://www.hnflvc.com,1,
琼台师范高等专科学校,海南,海南省教育厅,师范,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2050.dhtml,http://www.qttc.edu.cn,1,
海南经贸职业技术学院,海南,海南省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2102.dhtml,http://www.hceb.edu.cn,1,
海南工商职业学院,海南,海南省教育厅,财经,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-2103.dhtml,http://www.hntbc.edu.cn/,1,
三亚学院,海南,海南省教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-402800.dhtml,http://www.sanyau.edu.cn/,1,
三亚航空旅游职业学院,海南,海南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-474731.dhtml,http://www.hnasatc.com,1,
海南科技职业学院,海南,海南省教育厅,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-6252403.dhtml,http://www.hnkj.hainan.edu.cn,1,
三亚理工职业学院,海南,海南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-18552136.dhtml,http://www.ucsanya.com,1,
三亚中瑞酒店管理职业学院,海南,海南省教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1820739238.dhtml,http://www.his.edu.cn,1,
重庆大学,重庆,教育部,综合,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-470.dhtml,http://www.cqu.edu.cn,1,
重庆邮电大学,重庆,重庆市教育委员会,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-475.dhtml,http://zs.cqupt.edu.cn,1,
重庆交通大学,重庆,重庆市教育委员会,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-476.dhtml,http://www.cqjtu.edu.cn,1,
重庆医科大学,重庆,重庆市教育委员会,医药,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-485.dhtml,http://www.cqmu.edu.cn,1,
西南大学,重庆,教育部,综合,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-489.dhtml,http://bkzsw.swu.edu.cn/,1,
重庆师范大学,重庆,重庆市教育委员会,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-491.dhtml,http://www.cqnu.edu.cn,1,
重庆文理学院,重庆,重庆市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-496.dhtml,http://www.cqwu.edu.cn,1,
电子科技大学,四川,教育部,工科,本科,985-211,1,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-472.dhtml,http://www.uestc.edu.cn,1,
西南石油大学,四川,四川省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-473.dhtml,http://www.swpu.edu.cn,1,
成都理工大学,四川,四川省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-474.dhtml,http://www.cdut.edu.cn,1,
西南科技大学,四川,四川省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-477.dhtml,http://www.swust.edu.cn,1,
成都信息工程大学,四川,四川省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-478.dhtml,http://www.cuit.edu.cn,1,
四川理工学院,四川,四川省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-479.dhtml,http://www.suse.edu.cn,1,
西华大学,四川,四川省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-480.dhtml,http://www.xhu.edu.cn,1,
中国民用航空飞行学院,四川,中国民用航空局,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-481.dhtml,http://www.cafuc.edu.cn,1,
四川农业大学,四川,四川省教育厅,农业,本科/高职(专科),-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-483.dhtml,http://www.sicau.edu.cn,1,
