,pearsonr,f_regression,rfr,rfe,rg,rf,mic
82,0.058885048,1.732797916,-0.027,6631,-0.000169854,0.00035238,0.179640119
83,-0.036309003,0.657401844,0.045,6439,-0.001362559,5.34E-06,0.15868407
84,0.017649294,0.155174125,0.072,3901,0.001240748,0.00018715,0.243765797
85,0.04334058,0.937206591,0.112,1325,0.002630069,5.19E-07,0.246409192
86,0.015907809,0.126054973,0.163,4829,-0.002792683,1.79E-06,0.286031646
87,0.036543338,0.665926247,0.162,6689,-0.001254553,0.003464574,0.261978661
88,0.061221902,1.873586805,0.043,6323,0.000239195,7.35E-06,0.18179881
89,-0.034246815,0.584762315,0.08,6337,-0.002310603,1.38E-06,0.160436967
90,0.070653233,2.498427724,0.054,6336,-0.000931915,0,0.173737268
91,-0.031786603,0.503682219,0.004,2232,0.002849066,0,0.176137298
92,0.089847581,4.052865855,0.035,2151,0.003726206,0,0.182158174
93,-0.028271842,0.398368337,0.007,2842,-0.003194692,0,0.164295884
94,0.01571786,0.123061861,0.08,3254,0.001972337,0,0.246614897
95,0.039401392,0.774332043,0.129,6484,-0.000989537,1.40E-05,0.268964225
96,0.015923268,0.126300147,0.103,4612,-0.002763093,0.000227098,0.282715261
97,0.03662785,0.669014056,0.135,6389,-0.001203318,0.003268743,0.258704996
98,0.084073613,3.545107631,0.076,5014,-0.000809422,0.001166576,0.18132882
99,-0.027881646,0.38743952,0.032,3752,-0.002627225,0.000826761,0.175045008
100,0.001269535,0.000802637,0.022,5648,-0.001731628,1.93E-07,0.198306779
101,0.05312899,1.409678469,0.033,1986,0.005462904,0.001372873,0.174287146
102,0.012796888,0.081566004,0.074,3326,-0.004277057,0.002484025,0.197119905
103,0.039984088,0.797441066,0.076,322,0.00776778,0.004486874,0.251234284
104,0.07914287,3.138930747,-0.028,1068,0.005914824,0,0.177178103
105,0.093719813,4.412895064,-0.01,430,0.015827241,0.00033466,0.16686184
106,0.007668163,0.029284486,0.089,1975,-3.46E-05,0.000592957,0.208714666
107,0.04307382,0.925683747,0.113,1060,0.00827925,0,0.239670834
108,0.008275576,0.034107944,0.138,6128,-0.002890516,4.24E-06,0.283896519
109,0.035378681,0.624103396,0.105,6080,-0.000724466,1.63E-06,0.24491966
110,-0.184841872,17.6168315,-0.042,516,-0.015735311,1.27E-07,0.185140461
111,-0.038119205,0.724683777,-0.016,3504,-0.005003452,0.000203431,0.174818474
112,0.235421001,29.2201473,0.033,264,0.016965857,0.000729334,0.161119867
113,0.07306166,2.672593412,-0.029,1549,-0.004076249,3.77E-06,0.16137255
114,0.007882268,0.030942733,0.122,3658,-0.003965375,0.002474877,0.234140835
115,0.043611457,0.948980605,0.095,681,0.008708074,0,0.234918671
116,0.217103903,24.63387992,-0.019,6360,0.001981384,0,0.182047727
117,0.203086045,21.42305417,-0.039,1400,0.007453145,8.61E-05,0.158786265
118,0.174974091,15.72827011,0.014,6033,0.004013339,1.76E-06,0.189559121
119,0.222849769,26.02409487,0.027,1399,-0.004285002,4.82E-08,0.17463101
120,0.016808245,0.140733268,0.085,3557,-0.000115444,8.50E-06,0.238864449
121,0.044838201,1.003228161,0.146,1751,0.005998777,0.001620866,0.248574978
122,0.245047984,31.81457849,-0.001,1205,0.015238138,2.22E-06,0.170810628
123,0.087522584,3.844228519,-0.005,5149,0.008716019,0,0.153211867
124,0.009019434,0.040515693,0.095,1022,0.004882854,0,0.24631836
125,0.037822548,0.713432072,0.116,1116,-0.004608081,1.14E-05,0.237514569
126,0.015949554,0.126717598,0.187,4378,-0.002788305,0.000293578,0.297283243
127,0.0367737,0.674359819,0.169,6677,-0.001185763,0,0.262999559
128,-0.003155144,0.004957605,0.004,310,-0.012902973,0,0.161963435
129,0.070490876,2.486901186,0.012,807,0.007192599,5.89E-06,0.163612755
130,0.067021271,2.24703502,0.056,510,0.01196558,0.002133588,0.156539213
131,0.118189482,7.0549887,-0.07,608,0.002468878,0,0.153774576
132,0.26987598,39.12009154,0.013,170,0.019171075,1.29E-05,0.181549478
133,0.092179868,4.267834118,-0.03,639,-0.010684681,0.001508082,0.144995638
134,0.205439515,21.94446106,-0.035,1367,-0.002003079,4.15E-05,0.186890753
135,0.142084572,10.26078167,-0.062,6519,0.00799916,9.82E-07,0.152248531
136,0.176602777,16.03190502,-0.025,5861,0.004836052,0.001568936,0.187962473
137,0.224803344,26.50675872,0.043,2720,-0.003131736,7.89E-05,0.174284103
138,-0.046020439,1.056943127,0.028,1231,-0.003866938,0,0.122824302
139,-0.083017861,3.456017461,0.028,4154,-0.006635852,0.000468105,0.126862707
140,-0.046155664,1.063176883,0.083,1968,-0.004374257,0.00118816,0.127208277
141,-0.091264119,4.182750126,0.103,6778,-0.003819356,5.84E-05,0.12188697
142,-0.003883399,0.007510347,-0.002,342,-0.012020917,4.10E-08,0.156442665
143,-0.002321226,0.002683283,-0.025,1752,-0.011509019,0.000903419,0.169608621
144,0.094392509,4.477043192,-0.044,5025,-0.00618218,1.41E-06,0.154014468
145,0.127276082,8.200036158,-0.037,559,-0.017873726,7.38E-05,0.185537998
146,-0.151229522,11.65602099,-0.001,652,-0.009879696,0.001466708,0.186032498
147,-0.101045897,5.137167981,0.038,364,-0.008361645,0,0.200281882
148,-0.028719834,0.411103856,0.074,3351,-0.0056941,0,0.21046025
149,-0.145676552,10.79752708,-0.033,260,0.012154071,0,0.162766841
150,0.211682371,23.36192884,0.048,940,0.008339151,0,0.156040071
151,-0.176514439,16.01535489,0.015,4252,-0.00414769,0.000117882,0.177382332
152,-0.005364575,0.014332185,-0.029,180,-0.008049387,0.000193984,0.151992554
153,-0.072107825,2.602904064,-0.043,1027,-0.006350123,0,0.168375593
154,0.069343139,2.406188583,-0.004,2138,-0.001935661,7.93E-08,0.17832926
